Drug Name,Active Ingredient,Form; Route,Date,URL
cipro,ciprofloxacin,FOR SUSPENSION;ORAL,09/20/2024,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/019537s095,020780s050lbl.pdf#page=40"
cipro in dextrose 5% in plastic container,ciprofloxacin,INJECTABLE;INJECTION,03/25/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/019857s073lbl.pdf#page=33
cipro xr,ciprofloxacin; ciprofloxacin hydrochloride,"TABLET, EXTENDED RELEASE;ORAL",03/30/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021473s043lbl.pdf#page=30
citalopram,citalopram hydrobromide,CAPSULE; ORAL,08/18/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/215428s002lbl.pdf#page=24
clenpiq,citric acid; magnesium oxide; sodium picosulfate,SOLUTION;ORAL,08/29/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/209589s015lbl.pdf#page=14
clinoril,sulindac,TABLET;ORAL,12/23/2010,http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088573.pdf
codeine sulfate,codeine sulfate,SOLUTION;ORAL,12/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/202245s010lbl.pdf#page=30
codeine sulfate,codeine sulfate,TABLET;ORAL,12/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022402s015lbl.pdf#page=29
colcrys,colchicine,TABLET;ORAL,05/14/2020,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022352s026lbl.pdf#page=25
colcrys,colchicine,TABLET; ORAL,10/16/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2009/022353lbl.pdf#page=19
columvi,glofitamab-gxbm,INJECTABLE;INTRAVENOUS,06/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761309s000lbl.pdf#page=19
combogesic,acetaminophen; ibuprofen,TABLET;ORAL,11/21/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/209471s001lbl.pdf#page=28
combunox,ibuprofen; oxycodone hydrochloride,TABLET;ORAL,09/02/2010,https://www.accessdata.fda.gov/drugsatfda_docs/label/2010/021378s006lbl.pdf#page=30
concerta,methylphenidate hydrochloride,"TABLET, EXTENDED RELEASE;ORAL",10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021121s049lbl.pdf#page=30
consensi,amlodipine besylate; celecoxib,TABLET;ORAL,04/28/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/210045s009lbl.pdf#page=10
contrave,bupropion hydrochloride; naltrexone hydrochloride,"TABLET, EXTENDED RELEASE;ORAL",05/07/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/200063s021lbl.pdf#page=40
conzip,tramadol hydrochloride,"CAPSULE, EXTENDED RELEASE;ORAL",12/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022370s025lbl.pdf#page=37
copegus,ribavirin,TABLET;ORAL,08/11/2015,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021511s029lbl.pdf#page=27
copiktra,duvelisib,CAPSULE;ORAL,12/17/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/211155s005lbl.pdf#page=28
cordarone,amiodarone hydrochloride,TABLET;ORAL,10/17/2018,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/018972s054lbl.pdf#page=13
corlanor,ivabradine hydrochloride,TABLET;ORAL,08/04/2021,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/206143s008,209964s002lblrpl.pdf#page=24"
corlanor,ivabradine,SOLUTION;ORAL,08/04/2021,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/206143s008,209964s002lblrpl.pdf#page=24"
cosentyx,secukinumab,"INJECTABLE;SUBCUTANEOUS, INTRAVENOUS",10/06/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761349s000lbl.pdf#page=32
cosentyx,secukinumab,INJECTABLE;INJECTION,08/16/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125504s082lbl.pdf#page=33
cotempla xr-odt,methylphenidate,"TABLET, ORALLY DISINTEGRATING, EXTENDED RELEASE;ORAL",10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205489s012lbl.pdf##page=24
coumadin,warfarin sodium,INJECTABLE;INJECTION,08/14/2017,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/009218s118lbl.pdf#page=30
coumadin,warfarin sodium,TABLET;ORAL,08/14/2017,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/009218s118lbl.pdf#page=30
coxanto,oxaprozin,CAPSULE;ORAL,11/21/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217927s002lbl.pdf#page=24
creon,pancrelipase (amylase;lipase;protease),"CAPSULE, DELAYED RELEASE;ORAL",06/02/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020725s028lbl.pdf#page=16
cyltezo,adalimumab-adbm,INJECTABLE;INJECTION,04/30/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761058s018lbl.pdf#page=38
cymbalta,duloxetine hydrochloride,"CAPSULE, DELAYED REL PELLETS;ORAL",08/18/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021427s055s057lbl.pdf#page=38
daliresp,roflumilast,TABLET;ORAL,01/23/2018,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/022522s009lbl.pdf#page=17
dalmane,flurazepam hydrochloride,CAPSULE;ORAL,03/27/2009,http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/016721s077lbl.pdf
darvocet-n 100,acetaminophen; propoxyphene napsylate,TABLET;ORAL,09/25/2009,http://www.fda.gov/downloads/Drugs/DrugSafety/UCM187067.pdf
darvocet-n 50,acetaminophen; propoxyphene napsylate,TABLET;ORAL,09/25/2009,http://www.fda.gov/downloads/Drugs/DrugSafety/UCM187067.pdf
darvon,propoxyphene hydrochloride,CAPSULE;ORAL,09/25/2009,http://www.fda.gov/downloads/Drugs/DrugSafety/UCM187068.pdf
darvon-n,propoxyphene napsylate,TABLET;ORAL,09/25/2009,http://www.fda.gov/downloads/Drugs/DrugSafety/UCM187068.pdf
daurismo,glasdegib maleate,TABLET;ORAL,03/27/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210656s005lbl.pdf#page=20
daxxify,daxibotulinumtoxina-lanm,INJECTABLE;INTRAMUSCULAR,08/11/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761127s002lbl.pdf#page=16
daypro,oxaprozin,TABLET;ORAL,11/21/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/018841s036lbl.pdf#page=25
daypro alta,oxaprozin potassium,TABLET;ORAL,11/21/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020776s013lbl.pdf#page=22
daytrana,methylphenidate,SYSTEM;TRANSDERMAL,11/29/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/021514s039lbl.pdf#page=24
daytrana,methylphenidate,"FILM, EXTENDED RELEASE;TRANSDERMAL",10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021514s036lbl.pdf#page=25
dayvigo,lemborexant,TABLET;ORAL,04/20/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/212028s008lbl.pdf#page=22
demerol,meperidine hydrochloride,TABLET;ORAL,12/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/005010s060lbl.pdf#page=31
demerol,meperidine hydrochloride,INJECTABLE;INJECTION,12/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/005010s060lbl.pdf#page=31
demerol,meperidine hydrochloride,SYRUP;ORAL,12/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/005010s060lbl.pdf#page=31
depakene,valproic acid,CAPSULE;ORAL,05/19/2020,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/018081s070,018082s053lbl.pdf#page=41"
depakene,valproic acid,SYRUP;ORAL,05/19/2020,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/018081Orig1s068%20018082Orig1s051lbl.pdf#page=38
depakote,divalproex sodium,"CAPSULE, DELAYED REL PELLETS;ORAL",03/18/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019680s052lbl.pdf#page=42
depakote,divalproex sodium,"TABLET, DELAYED RELEASE;ORAL",03/18/2024,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/018723s066lbledt.pdf#page=48
depakote er,divalproex sodium,"TABLET, EXTENDED RELEASE;ORAL",03/18/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021168s044lbl.pdf#page=48
descovy,emtricitabine; tenofovir alafenamide fumarate,TABLET;ORAL,01/07/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/208215s019lbl.pdf#page=37
desoxyn,methamphetamine hydrochloride,TABLET;ORAL,10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/005378s038lbl.pdf#page=12
desoxyn,methamphetamine hydrochloride,"TABLET, EXTENDED RELEASE;ORAL",09/24/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/005378s032lbl.pdf#page=17
desvenlafaxine,desvenlafaxine fumarate,"TABLET, EXTENDED RELEASE;ORAL",07/18/2014,https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/205208Orig1s001lbl.pdf#page=23
desvenlafaxine,desvenlafaxine,"TABLET, EXTENDED RELEASE;ORAL",08/18/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204150s020lbl.pdf#page=33
desyrel,trazodone hydrochloride,TABLET;ORAL,10/18/2018,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/018207s032lbl.pdf#page=13
desyrel,trazodone hydrochloride,TABLET;ORAL,10/18/2018,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/018207s033lbl.pdf#page=14
dexedrine,dextroamphetamine sulfate,"CAPSULE, EXTENDED RELEASE;ORAL",10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/017078s055lbl.pdf#page=14
dexilant,dexlansoprazole,"CAPSULE, DELAYED RELEASE;ORAL",07/18/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022287s038lbl.pdf#page=24
dextroamphetamine sulfate,dextroamphetamine sulfate,SOLUTION;ORAL,01/04/2017,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/40776MG.pdf#page=7
diacomit,stiripentol,CAPSULE;ORAL,08/20/2018,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/206709s000,207223s000lbl.pdf#page=17"
diacomit,stiripentol,FOR SUSPENSION;ORAL,08/20/2018,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/206709s000,207223s000lbl.pdf#page=17"
dilantin,phenytoin sodium,CAPSULE;ORAL,09/07/2022,http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/084349s088lbl.pdf#page=21
dilantin,phenytoin,"TABLET, CHEWABLE;ORAL",10/22/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/084427s039s041lbl.pdf#page=17
dilantin-125,phenytoin,SUSPENSION;ORAL,03/03/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/008762s066lbl.pdf#page=19
dilantin-30,phenytoin,SUSPENSION;ORAL,03/03/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/008762s066lbl.pdf#page=19
dilaudid,hydromorphone hydrochloride,SOLUTION;ORAL,12/15/2023,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/019891s031,019892s041lbl.pdf#page=32"
dilaudid,hydromorphone hydrochloride,TABLET;ORAL,12/15/2023,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/019891s031,019892s041lbl.pdf#page=32"
dolophine hydrochloride,methadone hydrochloride,SYRUP;ORAL,06/02/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/006134s050lbl.pdf#page=36
dolophine hydrochloride,methadone hydrochloride,TABLET;ORAL,06/02/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/006134s050lbl.pdf#page=36
doral,quazepam,TABLET;ORAL,01/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/018708s029lbl.pdf#page=11
dotarem,gadoterate meglumine,SOLUTION;INTRAVENOUS,01/26/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/204781s012lbl.pdf#page=17
drizalma sprinkle,duloxetine hydrochloride,"CAPSULE, DELAYED REL PELLETS;ORAL",08/18/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/212516s005lbl.pdf#page=45
droxia,hydroxyurea,CAPSULE;ORAL,11/28/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/016295s058lbl.pdf#page=16
duetact,glimepiride; pioglitazone hydrochloride,TABLET;ORAL,12/21/2017,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021925s017lbl.pdf#page=39
duexis,famotidine; ibuprofen,TABLET;ORAL,11/21/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/022519s014lbl.pdf#page=25
duragesic-100,fentanyl,"FILM, EXTENDED RELEASE;TRANSDERMAL",03/04/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52
duragesic-12,fentanyl,"FILM, EXTENDED RELEASE;TRANSDERMAL",03/04/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52
duragesic-25,fentanyl,"FILM, EXTENDED RELEASE;TRANSDERMAL",03/04/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52
duragesic-37,fentanyl,"FILM, EXTENDED RELEASE;TRANSDERMAL",03/04/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52
duragesic-50,fentanyl,"FILM, EXTENDED RELEASE;TRANSDERMAL",03/04/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52
duragesic-75,fentanyl,"FILM, EXTENDED RELEASE;TRANSDERMAL",03/04/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52
duzallo,allopurinol; lesinurad,TABLET;ORAL,08/18/2017,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209203s000lbl.pdf#page=27
dyanavel xr,amphetamine,"SUSPENSION, EXTENDED RELEASE;ORAL",10/13/2023,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208147s016,210526s008lbl.pdf#page=21"
dyanavel xr 10,amphetamine; amphetamine aspartate/dextroamphetamine sulfate,"TABLET, EXTENDED RELEASE;ORAL",10/13/2023,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208147s016,210526s008lbl.pdf#page=21"
dyanavel xr 15,amphetamine; amphetamine aspartate/dextroamphetamine sulfate,"TABLET, EXTENDED RELEASE;ORAL",10/13/2023,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208147s016,210526s008lbl.pdf#page=21"
dyanavel xr 20,amphetamine; amphetamine aspartate/dextroamphetamine sulfate,"TABLET, EXTENDED RELEASE;ORAL",10/13/2023,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208147s016,210526s008lbl.pdf#page=21"
dyanavel xr 5,amphetamine; amphetamine aspartate/dextroamphetamine sulfate,"TABLET, EXTENDED RELEASE;ORAL",10/13/2023,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208147s016,210526s008lbl.pdf#page=21"
dysport,abobotulinumtoxina,INJECTABLE; INJECTION,09/21/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125274s125lbl.pdf#page=30
ec-naprosyn,naproxen,"TABLET, DELAYED RELEASE;ORAL",11/21/2024,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/017581s117,018164s067,020067s026lbl.pdf"
edluar,zolpidem tartrate,TABLET;SUBLINGUAL,08/18/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021997s011lbl.pdf#page=23
effexor,venlafaxine hydrochloride,TABLET;ORAL,12/12/2012,http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020151s031s055s058s060lbl.pdf#page=34
effexor xr,venlafaxine hydrochloride,"CAPSULE, EXTENDED RELEASE;ORAL",08/18/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020699s118lbl.pdf#page=41
effient,prasugrel hydrochloride,TABLET;ORAL,12/22/2020,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022307s018lbl.pdf#page=21
elepsia xr,levetiracetam,"TABLET, EXTENDED RELEASE;ORAL",03/12/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/204417s004lbl.pdf#page=25
elidel,pimecrolimus,CREAM;TOPICAL,06/09/2016,http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088587.pdf
eliquis,apixaban,TABLET;ORAL,10/12/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/202155s034lbl.pdf#page=38
elmiron,pentosan polysulfate sodium,CAPSULE;ORAL,03/12/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020193s015lbl.pdf#page=11
elrexfio,elranatamab-bcmm,INJECTABLE; SUBCUTANEOUS,08/14/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761345s000lbl.pdf#page=22
elucirem,gadopiclenol,INJECTABLE;INTRAVENOUS,01/26/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/216986s000lbl.pdf#page=17
elyxyb,celecoxib,SOLUTION;ORAL,11/21/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/212157s003lbl.pdf#page=26
embeda,morphine sulfate; naltrexone hydrochloride,"CAPSULE, EXTENDED RELEASE;ORAL",10/07/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022321s030lbl.pdf#page=30
empavel,pegcetacoplan,INJECTABLE;SUBCUTANEOUS,02/08/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/215014s003lbl.pdf#page=18
emsam,selegiline,"FILM, EXTENDED RELEASE;TRANSDERMAL",07/14/2017,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021336s014lbl.pdf#page=34
enbrel,etanercept,VIAL; SUBCUTANEOUS,09/12/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/103795s5600lbl.pdf#page=36
enbrel,etanercept,SYRINGE,06/09/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103795s5594lbl.pdf#page=35
enhertu,fam-trastuzumab deruxtecan-nxki,INJECTABLE;INJECTION,04/05/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761139s022lbl.pdf#page=31
enjaymo,sutimlimab-jome,INJECTABLE;INJECTION,02/08/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761164s000lbl.pdf#page=13
enspryng,satralizumab-mwge,INJECTABLE;SUBCUTANEOUS,09/14/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761149s005lbl.pdf#page=16
entyvio,vedolizumab,INJECTABLE;INTRAVENOUS,04/18/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761133s000lbl.pdf#page=23
entyvio,vedolizumab,INJECTABLE;SUBCUTANEOUS,04/18/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761133s000lbl.pdf#page=23
entyvio,vedolizumab,INJECTABLE;INJECTION,04/18/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125476s038s039lbl.pdf#page=20
entyvio pen,vedolizumab,INJECTABLE;SUBCUTANEOUS,04/18/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761133s000lbl.pdf#page=23
envarsus xr,tacrolimus,"TABLET, EXTENDED RELEASE;ORAL",04/08/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/206406s010lbl.pdf#page=29
eovist,gadoxetate disodium,SOLUTION;INTRAVENOUS,01/30/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022090s020lbledt.pdf#page=15
epidiolex,cannabidiol,SOLUTION;ORAL,03/04/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210365s020lbl.pdf#page=31
epkinly,epcoritamab-bysp,INJECTABLE;SUBCUTANEOUS,06/26/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761324s000lbl.pdf#page=26
epogen,epoetin alfa,VIAL; SINGLE-USE,04/30/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/103234s5363s5366lbl.pdf#page=27
epzicom,abacavir sulfate; lamivudine,TABLET;ORAL,12/10/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021652s029lbl.pdf#page=28
equetro,carbamazepine,"CAPSULE, EXTENDED RELEASE;ORAL",10/14/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021710s018lbl.pdf#page=27
erelzi,etanercept-szzs,INJECTABLE; INJECTION,11/10/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761042s018lbl.pdf#page=41
erivedge,vismodegib,CAPSULE;ORAL,03/27/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/203388s017lbl.pdf#page=15
esomeprazole strontium,esomeprazole strontium,"CAPSULE, DELAYED RELEASE;ORAL",03/04/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/202342s007lbl.pdf#page=29
estazolam,estazolam,TABLET;ORAL,02/05/2021,http://www.fda.gov/downloads/Drugs/DrugSafety/UCM359235.pdf
eticovo,etanercept-ykro,INJECTABLE;INJECTION,05/03/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761066s000lbl.pdf#page=31
evekeo odt,amphetamine sulfate,"TABLET, ORALLY DISINTEGRATING;ORAL",10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/209905s004lbl.pdf#page=16
evenity,romosozumab-aqqg,INJECTABLE;INJECTION,12/20/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761062s000lbl.pdf#page=19
evista,raloxifene hydrochloride,TABLET; ORAL,09/13/2007,http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088593.pdf
evista,raloxifene hydrochloride,TABLET;ORAL,06/27/2018,http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088593.pdf
exalgo,hydromorphone hydrochloride,"TABLET, EXTENDED RELEASE;ORAL",10/07/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021217s025lbl.pdf#page=31
exjade,deferasirox,"TABLET, FOR SUSPENSION;ORAL",07/23/2020,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021882s033lbl.pdf#page=28
extavia,interferon beta-1b,INJECTABLE; SUBCUTANEOUS,07/28/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125290s074lbl.pdf#page=16
fabhalta,iptacopan,CAPSULE;ORAL,08/07/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218276s001lbl.pdf#page=19
factive,gemifloxacin mesylate,TABLET;ORAL,07/26/2016,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021158s026lbl.pdf#page=30
farxiga,dapagliflozin,TABLET;ORAL,06/12/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/202293s030lbl.pdf#page=53
farydak,panobinostat lactate,CAPSULE;ORAL,06/06/2016,http://www.fda.gov/downloads/Drugs/DrugSafety/UCM436377.pdf
felbatol,felbamate,TABLET;ORAL,08/31/2012,http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020189s027mg.pdf
felbatol,felbamate,SUSPENSION;ORAL,08/31/2012,http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020189s027mg.pdf
feldene,piroxicam,CAPSULE;ORAL,11/21/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018147s050lbl.pdf#page=21
fensolvi kit,leuprolide acetate,POWDER;SUBCUTANEOUS,04/22/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213150s002lbl.pdf#page=15
fentanyl citrate,fentanyl citrate,TROCHE/LOZENGE;TRANSMUCOSAL,09/07/2017,http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/077312MedGuide.pdf
fentanyl citrate,fentanyl citrate,TROCHE/LOZENGE;TRANSMUCOSAL,12/03/2021,http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/078907MedGuide.pdf
fentora,fentanyl citrate,"TABLET;BUCCAL, SUBLINGUAL",12/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021947s043lbl.pdf#page=43
ferriprox,deferiprone,TABLET;ORAL,11/30/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/212269s003lbl.pdf#page=17
ferriprox,deferiprone,TABLET;ORAL,11/30/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021825s010lbl.pdf#page=17
ferriprox,deferiprone,SOLUTION;ORAL,11/30/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/208030s007lbl.pdf#page=13
fetzima,levomilnacipran hydrochloride,"CAPSULE, EXTENDED RELEASE;ORAL",04/19/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204168s011lbl.pdf#page=29
filspari,sparsentan,TABLET;ORAL,02/17/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216403s000lbl.pdf#page=22
fintepla,fenfluramine hydrochloride,SOLUTION;ORAL,12/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/212102s013lbl.pdf#page=30
fioricet w/ codeine,acetaminophen; butalbital; caffeine; codeine phosphate,CAPSULE;ORAL,12/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020232s047lbl.pdf#page=44
fiorinal w/codeine,aspirin; butalbital; caffeine; codeine phosphate,CAPSULE;ORAL,04/28/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019429s043lbl.pdf#page=39
firdapse,amifampridine phosphate,TABLET;ORAL,05/30/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208078s009lbl.pdf#page=12
flector,diclofenac epolamine,SYSTEM;TOPICAL,11/21/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/021234s024lbl.pdf#page=24
flowtuss,guaifenesin; hydrocodone bitartrate,SOLUTION;ORAL,12/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022424s003lbl.pdf#page=23
floxin,ofloxacin,TABLET;ORAL,02/25/2011,http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/019735s061MedG.pdf
fluoxetine hydrochloride,fluoxetine hydrochloride,TABLET;ORAL,08/18/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/202133s009s016lbl.pdf#page=36
focalin,dexmethylphenidate hydrochloride,TABLET;ORAL,10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021278s028s031lbl.pdf#page=17
focalin xr,dexmethylphenidate hydrochloride,"CAPSULE, EXTENDED RELEASE;ORAL",10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021802s038s041lbl.pdf#page=20
foradil,formoterol fumarate,POWDER;INHALATION,03/02/2016,http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088602.pdf
foradil certihaler,formoterol fumarate,POWDER;INHALATION,06/02/2010,https://www.accessdata.fda.gov/drugsatfda_docs/label/2010/021592s003lbl.pdf#page=35
forfivo xl,bupropion hydrochloride,"TABLET, EXTENDED RELEASE;ORAL",05/07/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022497s008lbl.pdf#page=33
