"Drug Name","Active Ingredient","Form; Route","Appl. No.","Company","Date","URL"
"BRIUMVI","UBLITUXIMAB-XIIY","INJECTABLE;INJECTION","761238","TG Therapeutics","12/28/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761238s000lbl.pdf#page=18"
"BRIVIACT","BRIVARACETAM","SOLUTION;INTRAVENOUS","205837","UCB INC","05/17/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205836s014,205837s011,205838s011lbl.pdf#page=18"
"BRIVIACT","BRIVARACETAM","SOLUTION;ORAL","205838","UCB INC","05/17/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205836s014,205837s011,205838s011lbl.pdf#page=18"
"BRIVIACT","BRIVARACETAM","TABLET;ORAL","205836","UCB INC","05/17/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205836s014,205837s011,205838s011lbl.pdf#page=18"
"BRIXADI","BUPRENORPHINE","INJECTION, EXTENDED RELEASE;SUBCUTANEOUS","210136","BRAEBURN","05/23/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210136s000lbl.pdf#page=52"
"BROVANA","ARFORMOTEROL TARTRATE","SOLUTION;INHALATION","021912","SUNOVION","05/29/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/021912s013lbl.pdf#page=22"
"BUNAVAIL","BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE","FILM;BUCCAL","205637","BDSI","06/17/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/205637s023s024lbl.pdf#page=33"
"BUTRANS","BUPRENORPHINE","FILM, EXTENDED RELEASE;TRANSDERMAL","021306","PURDUE PHARMA LP","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021306s041lbl.pdf#page=45"
"BYDUREON","EXENATIDE SYNTHETIC","FOR SUSPENSION, EXTENDED RELEASE;SUBCUTANEOUS","022200","ASTRAZENECA AB","12/21/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022200s034lbl.pdf#page=37"
"BYDUREON BCISE","EXENATIDE SYNTHETIC","SUSPENSION, EXTENDED RELEASE;SUBCUTANEOUS","209210","ASTRAZENECA AB","03/06/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/209210s022lbl.pdf#page=36"
"BYDUREON PEN","EXENATIDE SYNTHETIC","FOR SUSPENSION, EXTENDED RELEASE;SUBCUTANEOUS","022200","ASTRAZENECA AB","12/21/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022200s034lbl.pdf#page=37"
"BYETTA","EXENATIDE SYNTHETIC","INJECTABLE;SUBCUTANEOUS","021773","ASTRAZENECA AB","12/21/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021773s048lbl.pdf#page=33"
"BYETTA","EXENATIDE SYNTHETIC","INJECTABLE; SUBCUTANEOUS","021919","AMYLIN","10/30/2009","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM191084.pdf"
"CAMBIA","DICLOFENAC POTASSIUM","FOR SOLUTION;ORAL","022165","ASSERTIO","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/022165s016lbl.pdf#page=22"
"CAMZYOS","MAVACAMTEN","CAPSULE;ORAL","214998","BRISTOL MYERS SQUIBB","06/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/214998s001lbl.pdf#page=29"
"CAPLYTA","LUMATEPERONE TOSYLATE","CAPSULE;ORAL","209500","INTRA-CELLULAR","06/28/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/209500s011lbl.pdf#page=22"
"CAPRELSA","VANDETANIB","TABLET;ORAL","022405","GENZYME CORP","03/28/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022405s019lbl.pdf#page=20"
"CARBATROL","CARBAMAZEPINE","CAPSULE, EXTENDED RELEASE;ORAL","020712","TAKEDA PHARMS USA","04/11/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020712s038lbl.pdf#page=23"
"CASSIPA","BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE","FILM;SUBLINGUAL","208042","TEVA PHARMS USA","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208042s011lbl.pdf#page=30"
"CATAFLAM","DICLOFENAC POTASSIUM","TABLET;ORAL","020142","NOVARTIS","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020142s029lbl.pdf#page=19"
"CELEBREX","CELECOXIB","CAPSULE;ORAL","020998","UPJOHN","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020998s058lbl.pdf#page=41"
"CELEBREX","CELECOXIB","CAPSULE;ORAL","021156","GD SEARLE LLC","02/04/2011","http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/020998s033,021156s003MedG.pdf"
"CELEXA","CITALOPRAM HYDROBROMIDE","SOLUTION;ORAL","021046","FOREST LABS","12/03/2012","https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020822s042,021046s019lbl.pdf#page=32"
"CELEXA","CITALOPRAM HYDROBROMIDE","TABLET;ORAL","020822","ALLERGAN","08/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020822s054lbl.pdf#page=22"
"CELLCEPT","MYCOPHENOLATE MOFETIL","CAPSULE;ORAL","050722","ROCHE PALO","08/10/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050722s050,050723s050,050758s048,050759s055lbl.pdf#page=39"
"CELLCEPT","MYCOPHENOLATE MOFETIL","TABLET;ORAL","050723","ROCHE PALO","08/10/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050722s050,050723s050,050758s048,050759s055lbl.pdf#page=39"
"CELLCEPT","MYCOPHENOLATE MOFETIL HYDROCHLORIDE","INJECTABLE;INJECTION","050758","ROCHE PALO","08/10/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050722s050,050723s050,050758s048,050759s055lbl.pdf#page=39"
"CELLCEPT","MYCOPHENOLATE MOFETIL","FOR SUSPENSION;ORAL","050759","ROCHE PALO","08/10/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050722s050,050723s050,050758s048,050759s055lbl.pdf#page=39"
"CELONTIN","METHSUXIMIDE","CAPSULE;ORAL","010596","PARKE DAVIS","06/15/2011","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM229201.pdf"
"CERDELGA","ELIGLUSTAT TARTRATE","CAPSULE;ORAL","205494","GENZYME CORP","08/29/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/205494s003lbl.pdf#page=19"
"CHANTIX","VARENICLINE TARTRATE","TABLET;ORAL","021928","PF PRISM CV","02/22/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021928s048lbl.pdf#page=22"
"CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE","AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE","TABLET;ORAL","071297","MYLAN PHARMS INC","02/05/2021","http://www.accessdata.fda.gov/drugsatfda_docs/label/2008/071297Orig1s026MG.pdf"
"CIBINQO","ABROCITINIB","TABLET; ORAL","213871","PFIZER INC","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/213871s004lblcorrected.pdf#page=27"
"CIMZIA","CERTOLIZUMAB PEGOL","INJECTABLE; INJECTION","125160","UCB INC","09/13/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125160s275lbl.pdf#page=42"
"CIPRO","CIPROFLOXACIN HYDROCHLORIDE","TABLET;ORAL","019537","BAYER HLTHCARE","09/20/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/019537s095,020780s050lbl.pdf#page=40"
"CIPRO","CIPROFLOXACIN","INJECTABLE;INJECTION","019847","BAYER HLTHCARE","03/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/019847s063lbl.pdf#page=33"
"CIPRO","CIPROFLOXACIN","FOR SUSPENSION;ORAL","020780","BAYER HLTHCARE","09/20/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/019537s095,020780s050lbl.pdf#page=40"
"CIPRO IN DEXTROSE 5% IN PLASTIC CONTAINER","CIPROFLOXACIN","INJECTABLE;INJECTION","019857","BAYER HLTHCARE","03/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/019857s073lbl.pdf#page=33"
"CIPRO XR","CIPROFLOXACIN; CIPROFLOXACIN HYDROCHLORIDE","TABLET, EXTENDED RELEASE;ORAL","021473","BAYER HLTHCARE","03/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021473s043lbl.pdf#page=30"
"CITALOPRAM","CITALOPRAM HYDROBROMIDE","CAPSULE; ORAL","215428","ALMATICA","08/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/215428s002lbl.pdf#page=24"
"CLENPIQ","CITRIC ACID; MAGNESIUM OXIDE; SODIUM PICOSULFATE","SOLUTION;ORAL","209589","FERRING PHARMS INC","08/29/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/209589s015lbl.pdf#page=14"
"CLINORIL","SULINDAC","TABLET;ORAL","017911","MERCK","12/23/2010","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088573.pdf"
"CODEINE SULFATE","CODEINE SULFATE","SOLUTION;ORAL","202245","HIKMA","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/202245s010lbl.pdf#page=30"
"CODEINE SULFATE","CODEINE SULFATE","TABLET;ORAL","022402","HIKMA","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022402s015lbl.pdf#page=29"
"COLCRYS","COLCHICINE","TABLET;ORAL","022352","TAKEDA PHARMS USA","05/14/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022352s026lbl.pdf#page=25"
"COLCRYS","COLCHICINE","TABLET; ORAL","022353","AR HOLDING CO INC","10/16/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2009/022353lbl.pdf#page=19"
"COLUMVI","GLOFITAMAB-GXBM","INJECTABLE;INTRAVENOUS","761309","GENETECH","06/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761309s000lbl.pdf#page=19"
"COMBOGESIC","ACETAMINOPHEN; IBUPROFEN","TABLET;ORAL","209471","AFT Pharmaceuticals","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/209471s001lbl.pdf#page=28"
"COMBUNOX","IBUPROFEN; OXYCODONE HYDROCHLORIDE","TABLET;ORAL","021378","FOREST LABS","09/02/2010","https://www.accessdata.fda.gov/drugsatfda_docs/label/2010/021378s006lbl.pdf#page=30"
"CONCERTA","METHYLPHENIDATE HYDROCHLORIDE","TABLET, EXTENDED RELEASE;ORAL","021121","JANSSEN PHARMS","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021121s049lbl.pdf#page=30"
"CONSENSI","AMLODIPINE BESYLATE; CELECOXIB","TABLET;ORAL","210045","PURPLE BIOTECH","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/210045s009lbl.pdf#page=10"
"CONTRAVE","BUPROPION HYDROCHLORIDE; NALTREXONE HYDROCHLORIDE","TABLET, EXTENDED RELEASE;ORAL","200063","NALPROPION","05/07/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/200063s021lbl.pdf#page=40"
"CONZIP","TRAMADOL HYDROCHLORIDE","CAPSULE, EXTENDED RELEASE;ORAL","022370","CIPHER PHARMS INC","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022370s025lbl.pdf#page=37"
"COPEGUS","RIBAVIRIN","TABLET;ORAL","021511","ROCHE","08/11/2015","http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021511s029lbl.pdf#page=27"
"COPIKTRA","DUVELISIB","CAPSULE;ORAL","211155","SECURA","12/17/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/211155s005lbl.pdf#page=28"
"CORDARONE","AMIODARONE HYDROCHLORIDE","TABLET;ORAL","018972","WYETH PHARMS","10/17/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/018972s054lbl.pdf#page=13"
"CORLANOR","IVABRADINE HYDROCHLORIDE","TABLET;ORAL","206143","AMGEN INC","08/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/206143s008,209964s002lblrpl.pdf#page=24"
"CORLANOR","IVABRADINE","SOLUTION;ORAL","209964","AMGEN INC","08/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/206143s008,209964s002lblrpl.pdf#page=24"
"COSENTYX","SECUKINUMAB","INJECTABLE;SUBCUTANEOUS, INTRAVENOUS","761349","NOVARTIS PHARMACEUTICALS CORPORATION","10/06/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761349s000lbl.pdf#page=32"
"COSENTYX","SECUKINUMAB","INJECTABLE;INJECTION","125504","NOVARTIS PHARMS CORP","08/16/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125504s082lbl.pdf#page=33"
"COTEMPLA XR-ODT","METHYLPHENIDATE","TABLET, ORALLY DISINTEGRATING, EXTENDED RELEASE;ORAL","205489","NEOS THERAPS INC","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205489s012lbl.pdf##page=24"
"COUMADIN","WARFARIN SODIUM","INJECTABLE;INJECTION","009218","BRISTOL MYERS SQUIBB","08/14/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/009218s118lbl.pdf#page=30"
"COUMADIN","WARFARIN SODIUM","TABLET;ORAL","009218","BRISTOL MYERS SQUIBB","08/14/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/009218s118lbl.pdf#page=30"
"COXANTO","OXAPROZIN","CAPSULE;ORAL","217927","SOLUBIOMIX","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217927s002lbl.pdf#page=24"
"CREON","PANCRELIPASE (AMYLASE;LIPASE;PROTEASE)","CAPSULE, DELAYED RELEASE;ORAL","020725","ABBVIE","06/02/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020725s028lbl.pdf#page=16"
"CYLTEZO","ADALIMUMAB-ADBM","INJECTABLE;INJECTION","761058","BOEHRINGER INGELHEIM","04/30/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761058s018lbl.pdf#page=38"
"CYMBALTA","DULOXETINE HYDROCHLORIDE","CAPSULE, DELAYED REL PELLETS;ORAL","021427","LILLY","08/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021427s055s057lbl.pdf#page=38"
"DALIRESP","ROFLUMILAST","TABLET;ORAL","022522","ASTRAZENECA","01/23/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/022522s009lbl.pdf#page=17"
"DALMANE","FLURAZEPAM HYDROCHLORIDE","CAPSULE;ORAL","016721","VALEANT PHARM INTL","03/27/2009","http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/016721s077lbl.pdf"
"DARVOCET-N 100","ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE","TABLET;ORAL","017122","XANODYNE PHARM","09/25/2009","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM187067.pdf"
"DARVOCET-N 50","ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE","TABLET;ORAL","017122","XANODYNE PHARM","09/25/2009","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM187067.pdf"
"DARVON","PROPOXYPHENE HYDROCHLORIDE","CAPSULE;ORAL","010997","XANODYNE PHARM","09/25/2009","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM187068.pdf"
"DARVON-N","PROPOXYPHENE NAPSYLATE","TABLET;ORAL","016862","XANODYNE PHARM","09/25/2009","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM187068.pdf"
"DAURISMO","GLASDEGIB MALEATE","TABLET;ORAL","210656","PFIZER","03/27/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210656s005lbl.pdf#page=20"
"DAXXIFY","daxibotulinumtoxinA-lanm","INJECTABLE;INTRAMUSCULAR","761127","REVANCE THERAPEUTICS, INC","08/11/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761127s002lbl.pdf#page=16"
"DAYPRO","OXAPROZIN","TABLET;ORAL","018841","PFIZER","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/018841s036lbl.pdf#page=25"
"DAYPRO ALTA","OXAPROZIN POTASSIUM","TABLET;ORAL","020776","PFIZER","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020776s013lbl.pdf#page=22"
"DAYTRANA","METHYLPHENIDATE","SYSTEM;TRANSDERMAL","021514","NOVEN PHARMACEUTICALS, INC","11/29/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/021514s039lbl.pdf#page=24"
"DAYTRANA","METHYLPHENIDATE","FILM, EXTENDED RELEASE;TRANSDERMAL","021514","NOVEN PHARMS INC","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021514s036lbl.pdf#page=25"
"DAYVIGO","LEMBOREXANT","TABLET;ORAL","212028","EISAI INC","04/20/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/212028s008lbl.pdf#page=22"
"DEMEROL","MEPERIDINE HYDROCHLORIDE","TABLET;ORAL","005010","VALIDUS PHARMS","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/005010s060lbl.pdf#page=31"
"DEMEROL","MEPERIDINE HYDROCHLORIDE","INJECTABLE;INJECTION","005010","VALIDUS PHARMS","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/005010s060lbl.pdf#page=31"
"DEMEROL","MEPERIDINE HYDROCHLORIDE","SYRUP;ORAL","005010","VALIDUS PHARMS","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/005010s060lbl.pdf#page=31"
"DEPAKENE","VALPROIC ACID","CAPSULE;ORAL","018081","ABBVIE","05/19/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/018081s070,018082s053lbl.pdf#page=41"
"DEPAKENE","VALPROIC ACID","SYRUP;ORAL","018082","ABBVIE","05/19/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/018081Orig1s068%20018082Orig1s051lbl.pdf#page=38"
"DEPAKOTE","DIVALPROEX SODIUM","CAPSULE, DELAYED REL PELLETS;ORAL","019680","ABBVIE","03/18/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019680s052lbl.pdf#page=42"
"DEPAKOTE","DIVALPROEX SODIUM","TABLET, DELAYED RELEASE;ORAL","018723","ABBVIE","03/18/2024","http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/018723s066lbledt.pdf#page=48"
"DEPAKOTE ER","DIVALPROEX SODIUM","TABLET, EXTENDED RELEASE;ORAL","021168","ABBVIE","03/18/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021168s044lbl.pdf#page=48"
"DESCOVY","EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE","TABLET;ORAL","208215","GILEAD SCIENCES INC","01/07/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/208215s019lbl.pdf#page=37"
"DESOXYN","METHAMPHETAMINE HYDROCHLORIDE","TABLET;ORAL","005378","RECORDATI RARE","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/005378s038lbl.pdf#page=12"
"DESOXYN","METHAMPHETAMINE HYDROCHLORIDE","TABLET, EXTENDED RELEASE;ORAL","005378","RECORDATI RARE","09/24/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/005378s032lbl.pdf#page=17"
"DESVENLAFAXINE","DESVENLAFAXINE FUMARATE","TABLET, EXTENDED RELEASE;ORAL","205208","TEVA PHARMS USA","07/18/2014","https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/205208Orig1s001lbl.pdf#page=23"
"DESVENLAFAXINE","DESVENLAFAXINE","TABLET, EXTENDED RELEASE;ORAL","204150","ALEMBIC PHARMS LTD","08/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204150s020lbl.pdf#page=33"
"DESYREL","TRAZODONE HYDROCHLORIDE","TABLET;ORAL","018207","PRAGMA","10/18/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/018207s032lbl.pdf#page=13"
"DESYREL","TRAZODONE HYDROCHLORIDE","TABLET;ORAL","018207","PRAGMA","10/18/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/018207s033lbl.pdf#page=14"
"DEXEDRINE","DEXTROAMPHETAMINE SULFATE","CAPSULE, EXTENDED RELEASE;ORAL","017078","IMPAX LABS INC","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/017078s055lbl.pdf#page=14"
"DEXILANT","DEXLANSOPRAZOLE","CAPSULE, DELAYED RELEASE;ORAL","022287","TAKEDA PHARMS USA","07/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022287s038lbl.pdf#page=24"
"DEXTROAMPHETAMINE SULFATE","DEXTROAMPHETAMINE SULFATE","SOLUTION;ORAL","040776","OUTLOOK PHARMS","01/04/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/40776MG.pdf#page=7"
"DIACOMIT","STIRIPENTOL","CAPSULE;ORAL","206709","BIOCODEX SA","08/20/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/206709s000,207223s000lbl.pdf#page=17"
"DIACOMIT","STIRIPENTOL","FOR SUSPENSION;ORAL","207223","BIOCODEX SA","08/20/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/206709s000,207223s000lbl.pdf#page=17"
"DILANTIN","PHENYTOIN SODIUM","CAPSULE;ORAL","084349","UPJOHN","09/07/2022","http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/084349s088lbl.pdf#page=21"
"DILANTIN","PHENYTOIN","TABLET, CHEWABLE;ORAL","084427","PHARMACIA","10/22/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/084427s039s041lbl.pdf#page=17"
"DILANTIN-125","PHENYTOIN","SUSPENSION;ORAL","008762","UPJOHN","03/03/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/008762s066lbl.pdf#page=19"
"DILANTIN-30","PHENYTOIN","SUSPENSION;ORAL","008762","UPJOHN","03/03/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/008762s066lbl.pdf#page=19"
"DILAUDID","HYDROMORPHONE HYDROCHLORIDE","SOLUTION;ORAL","019891","RHODES PHARMS","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/019891s031,019892s041lbl.pdf#page=32"
"DILAUDID","HYDROMORPHONE HYDROCHLORIDE","TABLET;ORAL","019892","RHODES PHARMS","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/019891s031,019892s041lbl.pdf#page=32"
"DOLOPHINE HYDROCHLORIDE","METHADONE HYDROCHLORIDE","SYRUP;ORAL","006134","HIKMA","06/02/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/006134s050lbl.pdf#page=36"
"DOLOPHINE HYDROCHLORIDE","METHADONE HYDROCHLORIDE","TABLET;ORAL","006134","HIKMA","06/02/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/006134s050lbl.pdf#page=36"
"DORAL","QUAZEPAM","TABLET;ORAL","018708","GALT PHARMS","01/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/018708s029lbl.pdf#page=11"
"DOTAREM","GADOTERATE MEGLUMINE","SOLUTION;INTRAVENOUS","204781","GUERBET","01/26/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/204781s012lbl.pdf#page=17"
"DRIZALMA SPRINKLE","DULOXETINE HYDROCHLORIDE","CAPSULE, DELAYED REL PELLETS;ORAL","212516","SUN PHARMA GLOBAL","08/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/212516s005lbl.pdf#page=45"
"DROXIA","HYDROXYUREA","CAPSULE;ORAL","016295","BRISTOL MYERS SQUIBB","11/28/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/016295s058lbl.pdf#page=16"
"DUETACT","GLIMEPIRIDE; PIOGLITAZONE HYDROCHLORIDE","TABLET;ORAL","021925","TAKEDA PHARMS USA","12/21/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021925s017lbl.pdf#page=39"
"DUEXIS","FAMOTIDINE; IBUPROFEN","TABLET;ORAL","022519","HORIZON","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/022519s014lbl.pdf#page=25"
"DURAGESIC-100","FENTANYL","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52"
"DURAGESIC-12","FENTANYL","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52"
"DURAGESIC-25","FENTANYL","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52"
"DURAGESIC-37","FENTANYL","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52"
"DURAGESIC-50","FENTANYL","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52"
"DURAGESIC-75","FENTANYL","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52"
"DUZALLO","ALLOPURINOL; LESINURAD","TABLET;ORAL","209203","IRONWOOD PHARMS INC","08/18/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209203s000lbl.pdf#page=27"
"DYANAVEL XR","AMPHETAMINE","SUSPENSION, EXTENDED RELEASE;ORAL","208147","TRIS PHARMA INC","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208147s016,210526s008lbl.pdf#page=21"
"DYANAVEL XR 10","AMPHETAMINE; AMPHETAMINE ASPARTATE/DEXTROAMPHETAMINE SULFATE","TABLET, EXTENDED RELEASE;ORAL","210526","TRIS PHARMA INC","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208147s016,210526s008lbl.pdf#page=21"
"DYANAVEL XR 15","AMPHETAMINE; AMPHETAMINE ASPARTATE/DEXTROAMPHETAMINE SULFATE","TABLET, EXTENDED RELEASE;ORAL","210526","TRIS PHARMA INC","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208147s016,210526s008lbl.pdf#page=21"
"DYANAVEL XR 20","AMPHETAMINE; AMPHETAMINE ASPARTATE/DEXTROAMPHETAMINE SULFATE","TABLET, EXTENDED RELEASE;ORAL","210526","TRIS PHARMA INC","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208147s016,210526s008lbl.pdf#page=21"
